en,cht,pos,description
(harmless),無害,術語,法術描述
(object),物體,術語,法術描述
/day,次/天,術語,頻率單位
0 (at will),0環(隨意),術語,
1st,1環,術語,例：自發施法者為 1環(3次/天)—
24-Hour War,二十四小時之戰,事件,女王皮婭萊倫反抗芭芭·雅伽的叛亂
5-foot step,5呎快步,術語,
A thousand faces,千面萬象,職業能力,
A.X.Adrius,A.X.阿迪琉斯,人物,銜尾蛇財團高管
Aaqir al’Hakam,安奎爾·哈卡姆,人物,商盟領袖
Aaramor,阿拉莫爾,城市,紐梅利亞
Aasimar,神裔,怪物,B1
Abadar,阿布達,神祇,核心神祇
Abaddon,末日荒原,位面,
Abadius,阿貝迪烏斯月,時間,一月
Aballon,阿巴隆,行星,駿馬
Abbie,阿比,人物,地獄復仇AP#103
Abendego Gulf,阿班達哥海灣,地點,阿班達哥風暴眼地區的舊稱
Aberian Arvanxi,奧博里安·阿宛西,人物,AP#25
Aberrant,異怪血統,職業能力,
Aberrant Form,異怪形態,職業能力,
Aberration,異怪,術語,生物類型
Ability Damage,屬性傷害,術語,
Ability Drain,屬性吸取,術語,通用怪物能力
ability healing,屬性痊愈,能力,怪物能力
Ability Score,屬性值,術語,CRB
Ability score increase,屬性點增加,職業能力,
Abjurant Day,護法節,節日,
Abjuration,防護系,術語,
Abjuration School,防護學派,職業能力,法師職業能力
Abjurer,護法師,術語,專精防護學派的法師
Abken,阿卜肯,城市,瓦瑞西亞
Aboleth,底棲魔魚,怪物,
Aboleth,底棲魔魚語,語言,
Abrammo Lieklan,阿布拉莫·列克蘭,人物,地獄復仇AP#103
Abras Malesk,阿布拉斯·馬列斯克,人物,AP#108
Abraxas,阿巴拉克薩斯,神祇,惡魔領主
Abrittia Fessellin,阿布里蒂亞·費塞林,人物,AP#105
Abrogail,阿伯羅蓋,人物,切利亞斯的女皇 阿伯羅蓋·特鲁恩 阿伯羅蓋一世
Absalom,艾巴薩羅姆,國家,国家 首都
Absalom Reckoning,艾巴薩羅姆紀元,時間,內海地區使用的曆法
Abu-Fazim,阿布法基姆,,
Abundant Step,遁術,職業能力,
Abyss,深淵,位面,
Abyssal,深淵語,语言,
Abyssal,深淵血統,職業能力,
AC,AC,術語,防禦等級
Acadamae,魔學院,地點/組織,科瓦薩
academic,學院,屬性,城市屬性
Academies of Lies,謊言學院,地點,斯狄吉亞
Accelerated Climbing,加速攀爬,術語,
Accept the Flame,吸納烈焰,能力,摩洛克神恩
Accidental God,意外登神者,稱號,凱登·凱利恩的稱號
accomplished angler,熟練的垂釣者,怪物,NPC志
Accuser,控斥魔,怪物,B2
Achaekek,阿卡艾克克,神祇,红螳螂神
Achaierai,鹦哥兽,怪物,B2
acid,強酸,術語,元素傷害類型
acid arrow,強酸箭,法術,CRB
Acid Dart,強酸鏢,領域能力,
Acid Fog,酸霧術,法術,CRB
Acid Resistance,強酸抗性,領域能力,
Acid Splash,酸液飛濺,法術,CRB
Acid Spray,酸霧噴射,,
Acidic Ray,酸性射線,職業能力,
Acolyte,助祭,稱號,拉茲密爾教派第一階
acolytes,侍祭,,
Acquired Template,獲得型模板,術語,
Acrobatic Steps,神行步,專長,CRB
Acrobatics,特技/特技專家,術語/專長,技能/專長
Action,動作,術語,CRB
Acts of Iomedae,《艾奧梅黛奇功錄》,物品,艾奧梅黛的聖典
Acuben Isle,阿奇本島,地點,布雷斡
Adalan IV,阿達蘭四世,人物,帕迪莎皇帝
Adamant Company,堅鋼連隊,組織,帕格萊斯的軍事力量，聽從黑三角的意志，首領是米寇斯·若里克
Adamant Company,精鋼連隊,組織,奈多執行者
Adamant Guard,精鋼衛隊,,
Adamantine,精金,特殊材料,
Adannos Blackraven,阿丹諾斯·黑鴉,,
Adaptability,適應力,种族特性,
Adayeniki,阿達亞尼基,建筑,芒吉莽原
Added Summonings,增量召喚,職業能力,
Addiction,成癮性,術語,毒
Additional Resources,額外資源列表,書籍,PFS允許使用的資源列表
Adel,阿戴爾,稱號,切利亞斯貴族的小型私人遊艇
Adeletti,阿戴爾會館,地點,西冠城
Adelier,阿戴爾人,職業,小型遊艇阿戴爾的駕駛員
Adelyn Rhinon,艾德琳·瑞農,人物,阿斯菲爾森林的德魯伊
Adept,導師,NPC職業,CRB
Adivian River,阿迪汶河,地點,切利亞斯
adjacent,鄰接,術語,
Adlet,狼妖,術語,生物亞種
Admani Upastuti,阿德瑪尼·烏帕斯圖迪,節日,紮摩誄
Admiral Druvalia Thrune,海軍司令德魯瓦利亞·特魯恩,人物,切利亞斯海軍統帥
Adowyn,艾多雯,人物,獵人標志角色
Advanced Bestiary,《進階怪物圖鑑》,書名,第三方書籍
Advanced Class Guide,《進階職業指南》,書名,探索者角色扮演系列
Advanced Player’s Guide,《進階玩家指南》,書名,探索者角色扮演系列
